;Proband;MappingMethod;NumLayers;Completed_Num;Completed_Total;Completed_Avg;Failed_Num;Failed_Total;Failed_Avg;Terminated_Num;Terminated_Total;Terminated_Avg;Sum_Num;Sum_Total;All_Avg
32;2; widening;12;11.0;139.499;12.681727272727272;1.0;7.706;7.706;3.0;27.880000000000003;9.293333333333335;15.0;175.08499999999998;11.672333333333333
33;2; widening;15;7.0;74.037;10.576714285714287;1.0;8.288;8.288;7.0;74.396;10.628;15.0;156.721;10.448066666666668
34;2; widening;18;11.0;149.75500000000002;13.614090909090912;3.0;35.269000000000005;11.756333333333336;1.0;7.666;7.666;15.0;192.69000000000003;12.846000000000002
35;2; widening;21;10.0;137.66400000000002;13.7664;2.0;17.685000000000002;8.842500000000001;3.0;33.995999999999995;11.331999999999999;15.0;189.34500000000003;12.623000000000001
36;3; densening;6;10.0;59.652;5.9652;1.0;5.376;5.376;4.0;20.272000000000002;5.0680000000000005;15.0;85.30000000000001;5.686666666666667
37;3; densening;9;11.0;88.73299999999999;8.066636363636363;0.0;0.0;0.0;4.0;21.418;5.3545;15.0;110.15099999999998;7.343399999999999
38;3; densening;12;7.0;74.21600000000001;10.602285714285715;0.0;0.0;0.0;8.0;39.286;4.91075;15.0;113.50200000000001;7.566800000000001
39;3; densening;15;12.0;131.5;10.958333333333334;0.0;0.0;0.0;3.0;34.093;11.364333333333335;15.0;165.59300000000002;11.039533333333335
40;3; densening;18;10.0;129.538;12.953800000000001;0.0;0.0;0.0;5.0;88.171;17.6342;15.0;217.709;14.513933333333334
41;3; densening;21;6.0;94.083;15.6805;0.0;0.0;0.0;9.0;108.287;12.03188888888889;15.0;202.37;13.491333333333333
42;3; direct;6;5.0;32.596000000000004;6.5192000000000005;1.0;3.753;3.753;9.0;79.428;8.825333333333333;15.0;115.777;7.718466666666667
43;3; direct;9;5.0;42.985;8.597;1.0;6.181;6.181;9.0;56.64;6.293333333333333;15.0;105.806;7.053733333333333
44;3; direct;12;5.0;47.041;9.408199999999999;0.0;0.0;0.0;10.0;81.108;8.110800000000001;15.0;128.149;8.543266666666666
45;3; direct;15;6.0;68.798;11.466333333333333;0.0;0.0;0.0;9.0;76.128;8.458666666666666;15.0;144.926;9.661733333333332
46;3; direct;18;7.0;68.416;9.773714285714286;1.0;26.796000000000003;26.796000000000003;7.0;148.36100000000002;21.194428571428574;15.0;243.57300000000004;16.238200000000003
47;3; direct;21;6.0;61.665000000000006;10.277500000000002;0.0;0.0;0.0;9.0;150.626;16.736222222222224;15.0;212.291;14.152733333333334
48;3; widening;6;7.0;205.724;29.389142857142854;0.0;0.0;0.0;8.0;31.166;3.89575;15.0;236.89;15.792666666666666
49;3; widening;9;8.0;63.524;7.9405;1.0;4.432;4.432;6.0;37.413000000000004;6.235500000000001;15.0;105.369;7.0246
50;3; widening;12;10.0;95.312;9.5312;0.0;0.0;0.0;5.0;34.318;6.8636;15.0;129.63;8.642
51;3; widening;15;9.0;82.26100000000001;9.140111111111112;2.0;38.447;19.2235;4.0;45.00300000000001;11.250750000000002;15.0;165.711;11.047400000000001
52;3; widening;18;8.0;66.533;8.316625;0.0;0.0;0.0;7.0;77.41900000000001;11.059857142857144;15.0;143.952;9.5968
53;3; widening;21;9.0;90.41500000000002;10.046111111111113;1.0;24.329;24.329;5.0;60.81900000000001;12.163800000000002;15.0;175.56300000000005;11.704200000000004
54;4; densening;6;8.0;62.307;7.788375;0.0;0.0;0.0;7.0;33.541000000000004;4.791571428571429;15.0;95.84800000000001;6.389866666666667
55;4; densening;9;11.0;113.84400000000001;10.349454545454547;0.0;0.0;0.0;4.0;22.802000000000003;5.700500000000001;15.0;136.64600000000002;9.109733333333335
56;4; densening;12;9.0;103.76400000000001;11.529333333333334;0.0;0.0;0.0;6.0;35.994;5.999;15.0;139.758;9.317200000000001
57;4; densening;15;7.0;113.96600000000001;16.280857142857144;0.0;0.0;0.0;8.0;143.39200000000002;17.924000000000003;15.0;257.35800000000006;17.157200000000003
58;4; densening;18;3.0;54.876;18.291999999999998;0.0;0.0;0.0;12.0;256.37100000000004;21.364250000000002;15.0;311.247;20.7498
59;4; densening;21;6.0;102.79;17.131666666666668;0.0;0.0;0.0;9.0;160.896;17.877333333333333;15.0;263.686;17.579066666666666
60;4; direct;6;8.0;64.202;8.02525;0.0;0.0;0.0;7.0;33.058;4.722571428571428;15.0;97.25999999999999;6.483999999999999
61;4; direct;9;8.0;66.676;8.3345;0.0;0.0;0.0;7.0;46.141000000000005;6.591571428571429;15.0;112.81700000000001;7.521133333333334
62;4; direct;12;5.0;49.428;9.8856;0.0;0.0;0.0;10.0;105.739;10.5739;15.0;155.167;10.344466666666667
63;4; direct;15;5.0;59.206999999999994;11.841399999999998;0.0;0.0;0.0;10.0;129.942;12.994200000000001;15.0;189.149;12.609933333333334
64;4; direct;18;6.0;402.59200000000004;67.09866666666667;0.0;0.0;0.0;9.0;177.362;19.706888888888887;15.0;579.9540000000001;38.6636
65;4; direct;21;5.0;79.611;15.9222;0.0;0.0;0.0;10.0;208.70000000000005;20.870000000000005;15.0;288.31100000000004;19.220733333333335
66;4; widening;6;8.0;73.87500000000001;9.234375000000002;0.0;0.0;0.0;7.0;31.705000000000005;4.529285714285715;15.0;105.58000000000001;7.038666666666668
67;4; widening;9;8.0;81.961;10.245125;0.0;0.0;0.0;7.0;83.108;11.87257142857143;15.0;165.06900000000002;11.004600000000002
68;4; widening;12;4.0;43.544;10.886;0.0;0.0;0.0;11.0;136.869;12.442636363636364;15.0;180.413;12.027533333333334
69;4; widening;15;3.0;35.753;11.917666666666667;0.0;0.0;0.0;12.0;203.23299999999998;16.936083333333332;15.0;238.986;15.9324
70;4; widening;18;3.0;167.151;55.717000000000006;0.0;0.0;0.0;12.0;169.37399999999997;14.114499999999998;15.0;336.525;22.435
71;4; widening;21;4.0;53.413000000000004;13.353250000000001;0.0;0.0;0.0;11.0;244.077;22.18881818181818;15.0;297.49;19.832666666666668
72;5; densening;6;12.0;80.04500000000002;6.670416666666668;0.0;0.0;0.0;3.0;21.072000000000003;7.024000000000001;15.0;101.11700000000002;6.741133333333335
73;5; densening;9;13.0;91.715;7.055000000000001;0.0;0.0;0.0;2.0;7.2090000000000005;3.6045000000000003;15.0;98.924;6.5949333333333335
74;5; densening;12;15.0;126.88400000000001;8.458933333333334;0.0;0.0;0.0;0.0;0.0;0.0;15.0;126.88400000000001;8.458933333333334
75;5; densening;15;10.0;113.056;11.3056;0.0;0.0;0.0;5.0;33.84;6.768000000000001;15.0;146.89600000000002;9.793066666666668
76;5; densening;18;14.0;132.446;9.46042857142857;0.0;0.0;0.0;1.0;9.802;9.802;15.0;142.248;9.4832
77;5; densening;21;12.0;118.26000000000002;9.855000000000002;0.0;0.0;0.0;3.0;23.004;7.668;15.0;141.264;9.4176
78;5; direct;6;12.0;69.16900000000001;5.764083333333335;0.0;0.0;0.0;3.0;11.818;3.9393333333333334;15.0;80.98700000000001;5.399133333333334
79;5; direct;9;12.0;85.225;7.102083333333333;0.0;0.0;0.0;3.0;16.355;5.451666666666667;15.0;101.58;6.772
80;5; direct;12;13.0;105.21100000000001;8.093153846153847;0.0;0.0;0.0;2.0;12.197000000000001;6.0985000000000005;15.0;117.40800000000002;7.827200000000001
81;5; direct;15;10.0;81.95200000000001;8.195200000000002;0.0;0.0;0.0;5.0;42.896;8.5792;15.0;124.84800000000001;8.323200000000002
82;5; direct;18;10.0;90.716;9.0716;0.0;0.0;0.0;5.0;52.186;10.4372;15.0;142.902;9.5268
83;5; direct;21;9.0;93.14100000000002;10.349000000000002;0.0;0.0;0.0;6.0;47.733999999999995;7.955666666666666;15.0;140.875;9.391666666666667
84;5; widening;6;13.0;79.32600000000001;6.102;0.0;0.0;0.0;2.0;8.955;4.4775;15.0;88.281;5.885400000000001
85;5; widening;9;9.0;66.54;7.393333333333334;0.0;0.0;0.0;6.0;28.668999999999997;4.7781666666666665;15.0;95.209;6.347266666666667
86;5; widening;12;11.0;95.61900000000001;8.692636363636366;0.0;0.0;0.0;4.0;21.731;5.43275;15.0;117.35000000000002;7.823333333333335
87;5; widening;15;10.0;89.026;8.9026;1.0;6.21;6.21;4.0;36.036;9.009;15.0;131.272;8.751466666666666
88;5; widening;18;10.0;93.878;9.3878;0.0;0.0;0.0;5.0;44.799;8.9598;15.0;138.677;9.245133333333333
89;5; widening;21;9.0;92.994;10.332666666666666;0.0;0.0;0.0;6.0;45.121;7.520166666666667;15.0;138.115;9.207666666666666
90;6; densening;6;13.0;104.93200000000002;8.07169230769231;0.0;0.0;0.0;2.0;19.476;9.738;15.0;124.40800000000002;8.293866666666668
91;6; densening;9;14.0;126.63700000000001;9.0455;0.0;0.0;0.0;1.0;33.604;33.604;15.0;160.241;10.682733333333335
92;6; densening;12;13.0;130.628;10.048307692307691;0.0;0.0;0.0;2.0;22.578;11.289;15.0;153.206;10.213733333333332
93;6; densening;15;15.0;210.91899999999998;14.061266666666665;0.0;0.0;0.0;0.0;0.0;0.0;15.0;210.91899999999998;14.061266666666665
94;6; densening;18;8.0;86.657;10.832125;0.0;0.0;0.0;7.0;50.009;7.144142857142858;15.0;136.666;9.111066666666666
95;6; densening;21;9.0;104.054;11.561555555555556;0.0;0.0;0.0;6.0;56.656;9.442666666666666;15.0;160.71;10.714
96;6; direct;6;13.0;99.08900000000001;7.62223076923077;0.0;0.0;0.0;2.0;8.853000000000002;4.426500000000001;15.0;107.94200000000001;7.196133333333334
97;6; direct;9;10.0;85.52199999999999;8.5522;0.0;0.0;0.0;5.0;34.56;6.912000000000001;15.0;120.082;8.005466666666667
98;6; direct;12;12.0;109.85600000000001;9.154666666666667;0.0;0.0;0.0;3.0;27.076;9.025333333333334;15.0;136.93200000000002;9.128800000000002
99;6; direct;15;10.0;105.75200000000002;10.575200000000002;0.0;0.0;0.0;5.0;33.518;6.7036;15.0;139.27000000000004;9.28466666666667
100;6; direct;18;7.0;355.90600000000006;50.84371428571429;0.0;0.0;0.0;8.0;67.535;8.441875;15.0;423.44100000000003;28.229400000000002
101;6; direct;21;12.0;142.215;11.85125;0.0;0.0;0.0;3.0;48.959;16.319666666666667;15.0;191.174;12.744933333333334
102;6; widening;6;14.0;115.03200000000002;8.21657142857143;0.0;0.0;0.0;1.0;4.989;4.989;15.0;120.02100000000003;8.001400000000002
103;6; widening;9;10.0;382.0200000000001;38.20200000000001;0.0;0.0;0.0;5.0;44.953;8.9906;15.0;426.97300000000007;28.464866666666673
104;6; widening;12;9.0;85.309;9.478777777777777;0.0;0.0;0.0;6.0;59.970000000000006;9.995000000000001;15.0;145.279;9.685266666666667
105;6; widening;15;11.0;102.65000000000002;9.331818181818184;2.0;19.556;9.778;2.0;13.3;6.65;15.0;135.50600000000003;9.033733333333336
106;6; widening;18;10.0;129.526;12.9526;1.0;9.433;9.433;4.0;36.198;9.0495;15.0;175.157;11.677133333333334
107;6; widening;21;8.0;102.029;12.753625;2.0;56.054;28.027;5.0;46.012;9.2024;15.0;204.095;13.606333333333334
108;7; densening;6;15.0;248.042;16.536133333333332;0.0;0.0;0.0;0.0;0.0;0.0;15.0;248.042;16.536133333333332
109;7; densening;9;14.0;109.89000000000001;7.849285714285715;0.0;0.0;0.0;1.0;3.415;3.415;15.0;113.30500000000002;7.553666666666668
110;7; densening;12;15.0;122.15500000000002;8.143666666666668;0.0;0.0;0.0;0.0;0.0;0.0;15.0;122.15500000000002;8.143666666666668
111;7; densening;15;9.0;83.23400000000001;9.248222222222223;0.0;0.0;0.0;6.0;67.189;11.198166666666665;15.0;150.423;10.0282
112;7; densening;18;13.0;127.585;9.814230769230768;0.0;0.0;0.0;2.0;12.794;6.397;15.0;140.379;9.3586
113;7; densening;21;7.0;81.238;11.605428571428572;0.0;0.0;0.0;8.0;69.28;8.66;15.0;150.518;10.034533333333334
114;7; direct;6;10.0;70.739;7.0739;0.0;0.0;0.0;5.0;51.544000000000004;10.308800000000002;15.0;122.28300000000002;8.1522
115;7; direct;9;13.0;1043.8750000000002;80.29807692307693;0.0;0.0;0.0;2.0;10.785;5.3925;15.0;1054.6600000000003;70.31066666666669
116;7; direct;12;11.0;110.45100000000001;10.041;0.0;0.0;0.0;4.0;27.718000000000004;6.929500000000001;15.0;138.169;9.211266666666667
117;7; direct;15;12.0;120.06900000000002;10.00575;0.0;0.0;0.0;3.0;25.553;8.517666666666667;15.0;145.622;9.708133333333334
118;7; direct;18;10.0;117.48700000000001;11.748700000000001;0.0;0.0;0.0;5.0;31.161;6.232200000000001;15.0;148.64800000000002;9.909866666666668
119;7; direct;21;11.0;130.67900000000003;11.879909090909093;0.0;0.0;0.0;4.0;47.486000000000004;11.871500000000001;15.0;178.16500000000002;11.877666666666668
120;7; widening;6;10.0;66.28800000000001;6.628800000000001;0.0;0.0;0.0;5.0;32.138;6.4276;15.0;98.42600000000002;6.5617333333333345
121;7; widening;9;9.0;108.09700000000001;12.010777777777779;0.0;0.0;0.0;6.0;39.564;6.594;15.0;147.661;9.844066666666667
122;7; widening;12;12.0;179.912;14.992666666666667;0.0;0.0;0.0;3.0;17.27;5.756666666666667;15.0;197.18200000000002;13.145466666666668
123;7; widening;15;10.0;111.676;11.1676;1.0;11.183;11.183;4.0;42.943;10.73575;15.0;165.80200000000002;11.053466666666669
124;7; widening;18;12.0;123.404;10.283666666666667;1.0;10.153;10.153;2.0;18.029;9.0145;15.0;151.58599999999998;10.105733333333331
125;7; widening;21;9.0;154.585;17.176111111111112;3.0;32.753;10.917666666666667;3.0;28.085;9.361666666666666;15.0;215.42300000000003;14.361533333333336
126;8; densening;6;12.0;104.89599999999999;8.741333333333332;0.0;0.0;0.0;3.0;47.689;15.896333333333333;15.0;152.58499999999998;10.172333333333333
127;8; densening;9;11.0;236.41000000000003;21.491818181818186;1.0;13.888000000000002;13.888000000000002;3.0;31.214;10.404666666666666;15.0;281.51200000000006;18.76746666666667
128;8; densening;12;10.0;91.391;9.139100000000001;0.0;0.0;0.0;5.0;127.99100000000001;25.598200000000002;15.0;219.382;14.625466666666666
129;8; densening;15;11.0;161.47000000000003;14.679090909090911;0.0;0.0;0.0;4.0;29.608000000000004;7.402000000000001;15.0;191.07800000000003;12.738533333333335
130;8; densening;18;12.0;182.527;15.210583333333332;0.0;0.0;0.0;3.0;41.107;13.702333333333334;15.0;223.634;14.908933333333332
131;8; densening;21;8.0;113.81800000000001;14.227250000000002;0.0;0.0;0.0;7.0;107.602;15.371714285714287;15.0;221.42000000000002;14.761333333333335
132;8; direct;6;9.0;65.449;7.272111111111111;0.0;0.0;0.0;6.0;41.513999999999996;6.919;15.0;106.963;7.130866666666666
133;8; direct;9;13.0;167.401;12.877;0.0;0.0;0.0;2.0;9.113;4.5565;15.0;176.514;11.7676
134;8; direct;12;13.0;106.58800000000001;8.199076923076923;0.0;0.0;0.0;2.0;16.208;8.104;15.0;122.796;8.1864
135;8; direct;15;13.0;207.81500000000003;15.985769230769233;0.0;0.0;0.0;2.0;17.429000000000002;8.714500000000001;15.0;225.24400000000003;15.016266666666668
136;8; direct;18;9.0;100.44999999999999;11.16111111111111;0.0;0.0;0.0;6.0;92.09700000000001;15.3495;15.0;192.547;12.836466666666666
137;8; direct;21;11.0;456.493;41.49936363636363;0.0;0.0;0.0;4.0;48.647;12.16175;15.0;505.14;33.676
138;8; widening;6;11.0;182.416;16.58327272727273;0.0;0.0;0.0;4.0;16.548000000000002;4.1370000000000005;15.0;198.964;13.264266666666666
139;8; widening;9;8.0;314.971;39.371375;0.0;0.0;0.0;7.0;57.074000000000005;8.153428571428572;15.0;372.045;24.803
140;8; widening;12;9.0;126.05699999999999;14.006333333333332;0.0;0.0;0.0;6.0;48.20399999999999;8.033999999999999;15.0;174.26099999999997;11.617399999999998
141;8; widening;15;10.0;145.066;14.5066;0.0;0.0;0.0;5.0;38.904;7.780800000000001;15.0;183.97;12.264666666666667
142;8; widening;18;4.0;36.022000000000006;9.005500000000001;0.0;0.0;0.0;11.0;139.986;12.725999999999999;15.0;176.00799999999998;11.733866666666666
143;8; widening;21;10.0;205.11599999999999;20.511599999999998;0.0;0.0;0.0;5.0;95.14399999999999;19.028799999999997;15.0;300.26;20.017333333333333
144;9; densening;6;14.0;125.88100000000001;8.9915;0.0;0.0;0.0;1.0;7.549;7.549;15.0;133.43;8.895333333333333
145;9; densening;9;12.0;115.75800000000001;9.646500000000001;0.0;0.0;0.0;3.0;315.4630000000001;105.15433333333335;15.0;431.2210000000001;28.748066666666674
146;9; densening;12;14.0;122.721;8.765785714285714;0.0;0.0;0.0;1.0;11.438;11.438;15.0;134.159;8.943933333333332
147;9; densening;15;13.0;159.09100000000004;12.237769230769233;1.0;42.036;42.036;1.0;4.851;4.851;15.0;205.97800000000004;13.731866666666669
148;9; densening;18;12.0;147.535;12.294583333333334;0.0;0.0;0.0;3.0;37.959;12.653;15.0;185.494;12.366266666666666
149;9; densening;21;13.0;132.666;10.205076923076923;0.0;0.0;0.0;2.0;31.849000000000004;15.924500000000002;15.0;164.515;10.967666666666666
150;9; direct;6;14.0;248.88400000000004;17.777428571428576;0.0;0.0;0.0;1.0;5.305000000000001;5.305000000000001;15.0;254.18900000000005;16.945933333333336
151;9; direct;9;14.0;98.788;7.056285714285714;0.0;0.0;0.0;1.0;5.926;5.926;15.0;104.714;6.980933333333334
152;9; direct;12;15.0;133.8;8.92;0.0;0.0;0.0;0.0;0.0;0.0;15.0;133.8;8.92
153;9; direct;15;14.0;164.93300000000002;11.780928571428573;0.0;0.0;0.0;1.0;13.456;13.456;15.0;178.389;11.8926
154;9; direct;18;14.0;143.441;10.245785714285715;0.0;0.0;0.0;1.0;7.83;7.83;15.0;151.27100000000002;10.084733333333334
155;9; direct;21;13.0;122.30500000000002;9.408076923076925;0.0;0.0;0.0;2.0;17.065;8.5325;15.0;139.37000000000003;9.291333333333336
156;9; widening;6;12.0;96.48600000000002;8.040500000000002;0.0;0.0;0.0;3.0;18.046;6.015333333333333;15.0;114.53200000000001;7.635466666666668
157;9; widening;9;9.0;81.828;9.092;0.0;0.0;0.0;6.0;41.235;6.8725;15.0;123.063;8.2042
158;9; widening;12;11.0;119.82700000000001;10.893363636363638;0.0;0.0;0.0;4.0;36.45099999999999;9.112749999999998;15.0;156.27800000000002;10.418533333333334
159;9; widening;15;10.0;143.38199999999998;14.338199999999997;0.0;0.0;0.0;5.0;50.74;10.148;15.0;194.12199999999999;12.941466666666665
160;9; widening;18;8.0;108.45000000000002;13.556250000000002;0.0;0.0;0.0;7.0;106.34800000000001;15.19257142857143;15.0;214.79800000000003;14.319866666666668
161;9; widening;21;7.0;84.009;12.001285714285714;0.0;0.0;0.0;8.0;110.03;13.75375;15.0;194.039;12.935933333333333
162;10; densening;6;5.0;30.310000000000002;6.062;1.0;5.158;5.158;9.0;46.326000000000015;5.147333333333335;15.0;81.79400000000001;5.452933333333334
163;10; densening;9;5.0;34.636;6.927200000000001;4.0;27.978;6.9945;6.0;42.069;7.011500000000001;15.0;104.683;6.978866666666667
164;10; densening;12;3.0;31.688000000000002;10.562666666666667;1.0;7.504;7.504;11.0;86.34599999999999;7.849636363636363;15.0;125.53799999999998;8.3692
165;10; densening;15;10.0;88.40200000000002;8.840200000000001;0.0;0.0;0.0;5.0;55.246;11.0492;15.0;143.64800000000002;9.576533333333336
166;10; densening;18;7.0;117.67000000000002;16.810000000000002;1.0;7.260000000000001;7.260000000000001;7.0;58.443;8.349;15.0;183.37300000000002;12.224866666666667
167;10; densening;21;7.0;94.99;13.569999999999999;4.0;61.86300000000001;15.465750000000002;4.0;62.65800000000001;15.664500000000002;15.0;219.51100000000002;14.634066666666667
168;10; direct;6;5.0;27.396;5.4792000000000005;0.0;0.0;0.0;10.0;55.578;5.5578;15.0;82.974;5.5316
169;10; direct;9;7.0;319.06799999999987;45.58114285714284;1.0;6.083;6.083;7.0;33.32;4.76;15.0;358.4709999999999;23.898066666666658
170;10; direct;12;3.0;21.327;7.109000000000001;1.0;6.173;6.173;11.0;65.29899999999999;5.936272727272726;15.0;92.79899999999999;6.186599999999999
171;10; direct;15;2.0;12.402000000000001;6.2010000000000005;1.0;8.912;8.912;12.0;85.17200000000001;7.097666666666668;15.0;106.48600000000002;7.099066666666668
172;10; direct;18;6.0;93.422;15.570333333333332;3.0;35.491;11.830333333333334;6.0;48.91400000000001;8.152333333333335;15.0;177.82700000000003;11.855133333333335
173;10; direct;21;5.0;63.38;12.676;0.0;0.0;0.0;10.0;124.66000000000001;12.466000000000001;15.0;188.04000000000002;12.536000000000001
174;10; widening;6;3.0;36.790000000000006;12.263333333333335;5.0;31.64;6.328;7.0;38.175000000000004;5.453571428571429;15.0;106.60500000000002;7.107000000000001
175;10; widening;9;4.0;36.07000000000001;9.017500000000002;0.0;0.0;0.0;11.0;64.26100000000001;5.841909090909092;15.0;100.33100000000002;6.688733333333334
176;10; widening;12;4.0;46.08200000000001;11.520500000000002;4.0;29.002000000000002;7.250500000000001;7.0;53.406000000000006;7.629428571428572;15.0;128.49;8.566
177;10; widening;15;4.0;38.417;9.60425;2.0;13.498000000000001;6.7490000000000006;9.0;55.289;6.143222222222223;15.0;107.20400000000001;7.146933333333334
178;10; widening;18;5.0;51.506;10.3012;2.0;42.117999999999995;21.058999999999997;8.0;65.872;8.234;15.0;159.49599999999998;10.633066666666666
179;10; widening;21;5.0;183.40400000000002;36.680800000000005;1.0;7.998;7.998;9.0;60.068;6.674222222222222;15.0;251.47000000000003;16.764666666666667
180;11; densening;6;3.0;22.806;7.602;0.0;0.0;0.0;12.0;89.747;7.478916666666667;15.0;112.553;7.503533333333333
181;11; densening;9;4.0;26.755;6.68875;0.0;0.0;0.0;11.0;62.63100000000001;5.693727272727274;15.0;89.38600000000001;5.959066666666668
182;11; densening;12;6.0;53.114000000000004;8.852333333333334;0.0;0.0;0.0;9.0;62.678000000000004;6.964222222222222;15.0;115.792;7.7194666666666665
183;11; densening;15;8.0;90.418;11.30225;0.0;0.0;0.0;7.0;41.632;5.9474285714285715;15.0;132.05;8.803333333333335
184;11; densening;18;8.0;321.214;40.15175;0.0;0.0;0.0;7.0;54.94499999999999;7.849285714285713;15.0;376.159;25.077266666666667
185;11; densening;21;5.0;52.40700000000001;10.481400000000002;0.0;0.0;0.0;10.0;100.89200000000002;10.089200000000002;15.0;153.29900000000004;10.219933333333335
186;11; direct;6;5.0;29.697000000000003;5.939400000000001;0.0;0.0;0.0;10.0;197.64200000000002;19.764200000000002;15.0;227.33900000000003;15.155933333333335
187;11; direct;9;9.0;70.602;7.844666666666667;0.0;0.0;0.0;6.0;34.251000000000005;5.708500000000001;15.0;104.85300000000001;6.990200000000001
188;11; direct;12;10.0;76.51400000000001;7.651400000000001;0.0;0.0;0.0;5.0;42.216;8.443200000000001;15.0;118.73000000000002;7.915333333333335
189;11; direct;15;11.0;113.97800000000001;10.361636363636364;0.0;0.0;0.0;4.0;32.341;8.08525;15.0;146.31900000000002;9.754600000000002
